dataset,family,algorithm,params,clusters_found,noise_points,silhouette,davies_bouldin,nmi,adjusted_rand,purity
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 5, ""pca_components"": 3}",5,0,0.1589731720822518,1.806568730289023,0.3958898512550951,0.33973681847133547,0.9173989455184535
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 2, ""pca_components"": 5}",2,0,0.3449740051034408,1.3123202103574443,0.554612218410556,0.6707206476880808,0.9103690685413005
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 3, ""pca_components"": 5}",3,0,0.3143840098608098,1.5293883767807952,0.42229582618320705,0.510670959369618,0.8699472759226714
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 4, ""pca_components"": 5}",4,0,0.28526536433824284,1.4892825462939874,0.464037306432693,0.5570917327568815,0.8963093145869947
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 5, ""pca_components"": 5}",5,0,0.16336786367868775,1.7780921704466988,0.3889143961169652,0.31989503995549945,0.9103690685413005
iris,prototype,KMeans_baseline,"{""n_clusters"": 3}",3,0,0.45994823920518635,0.8335949464754334,0.659486892724918,0.6201351808870379,0.8333333333333334
iris,prototype,KMedoids,"{""n_clusters"": 2}",2,0,0.5817500491982808,0.5933126905762433,0.7336804366512104,0.5681159420289855,0.6666666666666666
iris,prototype,KMedoids,"{""n_clusters"": 3}",3,0,0.4605056636868874,0.8323764752444287,0.7075107062729801,0.667583802995889,0.86
iris,prototype,KMedoids,"{""n_clusters"": 4}",4,0,0.3827531365549361,1.0127496075755242,0.6091363058241359,0.5737690707350902,0.8266666666666667
iris,prototype,KMedoids,"{""n_clusters"": 5}",5,0,0.39207462842459295,1.0700617969881152,0.6031953260663495,0.5539594778761969,0.8666666666666667
iris,prototype,KMedoids,"{""n_clusters"": 6}",6,0,0.34082127844845644,1.0418780153133849,0.5621566022738604,0.43203870977528,0.8666666666666667
iris,prototype,PCA_KMeans,"{""n_clusters"": 2, ""pca_components"": 2}",2,0,0.5817500491982808,0.5933126905762433,0.7336804366512104,0.5681159420289855,0.6666666666666666
iris,prototype,PCA_KMeans,"{""n_clusters"": 3, ""pca_components"": 2}",3,0,0.45994823920518635,0.8335949464754334,0.659486892724918,0.6201351808870379,0.8333333333333334
iris,prototype,PCA_KMeans,"{""n_clusters"": 4, ""pca_components"": 2}",4,0,0.38345021948341024,0.8825306763536237,0.5862088399862003,0.4511257702806867,0.82
iris,prototype,PCA_KMeans,"{""n_clusters"": 5, ""pca_components"": 2}",5,0,0.34380827431664635,0.9528233602907406,0.5957253398131717,0.42637687534694013,0.84
iris,prototype,PCA_KMeans,"{""n_clusters"": 6, ""pca_components"": 2}",6,0,0.34393120071761524,0.9223243468090278,0.5862350863124058,0.3794945576620712,0.8466666666666667
iris,prototype,PCA_KMeans,"{""n_clusters"": 2, ""pca_components"": 3}",2,0,0.5817500491982808,0.5933126905762433,0.7336804366512104,0.5681159420289855,0.6666666666666666
iris,prototype,PCA_KMeans,"{""n_clusters"": 3, ""pca_components"": 3}",3,0,0.45994823920518635,0.8335949464754334,0.659486892724918,0.6201351808870379,0.8333333333333334
iris,prototype,PCA_KMeans,"{""n_clusters"": 4, ""pca_components"": 3}",4,0,0.38694104154427816,0.8698143723183837,0.597298051997623,0.4728177114181946,0.8333333333333334
iris,prototype,PCA_KMeans,"{""n_clusters"": 5, ""pca_components"": 3}",5,0,0.34194697093163473,0.9530463492231889,0.5893294309619322,0.41808005832855233,0.8333333333333334
iris,prototype,PCA_KMeans,"{""n_clusters"": 6, ""pca_components"": 3}",6,0,0.3256773128015378,1.0518571795529452,0.5397432016096567,0.35633826042865885,0.8266666666666667
wine,prototype,KMeans_baseline,"{""n_clusters"": 3}",3,0,0.28485891918989864,1.3891879777181646,0.875893534122307,0.8974949815093207,0.9662921348314607
wine,prototype,KMedoids,"{""n_clusters"": 2}",2,0,0.25790515130586333,1.504833627715585,0.45174744278444956,0.3575258937685815,0.5955056179775281
wine,prototype,KMedoids,"{""n_clusters"": 3}",3,0,0.2676220575785755,1.4247611738796095,0.7829064271769635,0.7411365432162113,0.9101123595505618
