dataset,family,algorithm,params,clusters_found,noise_points,silhouette,davies_bouldin,nmi,adjusted_rand,purity
wine,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 5, ""xi"": 0.05}",1,137,,,0.5261193533365758,0.3743557008720652,0.6292134831460674
wine,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 5, ""xi"": 0.1}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.1}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 5, ""xi"": 0.1}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 10, ""xi"": 0.03}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 10, ""xi"": 0.03}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 10, ""xi"": 0.03}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 10, ""xi"": 0.05}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 10, ""xi"": 0.05}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 10, ""xi"": 0.05}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 10, ""xi"": 0.1}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 10, ""xi"": 0.1}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 10, ""xi"": 0.1}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 20, ""xi"": 0.03}",2,136,0.5394827049465294,0.7121771075529513,0.34685622318489046,0.17241139299771782,0.6348314606741573
wine,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.03}",2,136,0.5394827049465294,0.7121771075529513,0.34685622318489046,0.17241139299771782,0.6348314606741573
wine,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 20, ""xi"": 0.03}",2,136,0.5394827049465294,0.7121771075529513,0.34685622318489046,0.17241139299771782,0.6348314606741573
wine,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 20, ""xi"": 0.05}",1,156,,,0.25759020209839,0.12620288321385642,0.5224719101123596
wine,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.05}",1,156,,,0.25759020209839,0.12620288321385642,0.5224719101123596
wine,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 20, ""xi"": 0.05}",1,156,,,0.25759020209839,0.12620288321385642,0.5224719101123596
wine,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 20, ""xi"": 0.1}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.1}",1,0,,,0.0,0.0,0.398876404494382
wine,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 20, ""xi"": 0.1}",1,0,,,0.0,0.0,0.398876404494382
